Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-986562.748723801,0.0002939641731500981,7.383738205848234e-05,0.0006046785840970795,8.554836972563666e-05
-986229.4504978808,0.00029397542738306533,7.384004916426454e-05,0.0006047008989184953,8.555145206069185e-05
-985896.1522719606,0.0002939867627661083,7.384273548351593e-05,0.0006047233745499842,8.555455659959286e-05
-985562.8540460403,0.00029399817931476016,7.384544101972966e-05,0.0006047460110218604,8.555768334639426e-05
-985229.5558201201,0.00029400967704445264,7.38481657763824e-05,0.0006047688083640241,8.556083230512479e-05
-984896.2575942,0.00029402125597365714,7.385090975712827e-05,0.0006047917666077175,8.556400347985208e-05
-984562.9593682798,0.0002940329161177028,7.385367296539489e-05,0.0006048148857840588,8.556719687468566e-05
-984229.6611423596,0.0002940446574934288,7.385645540476222e-05,0.000604838165924522,8.557041249374609e-05
-983896.3629164394,0.00029405648011912545,7.385925707894869e-05,0.0006048616070601146,8.557365034120548e-05
-983563.0646905191,0.00029406838401049146,7.386207799153308e-05,0.0006048852092222358,8.557691042123781e-05
-983229.766464599,0.0002940803691843186,7.386491814622984e-05,0.000604908972443921,8.558019273806301e-05
-982896.4682386788,0.0002940924356599065,7.386777754671858e-05,0.0006049328967573338,8.558349729593983e-05
-982563.1700127586,0.00029410458345346653,7.387065619672343e-05,0.0006049569821943069,8.558682409913296e-05
-982229.8717868384,0.000294116812581544,7.387355409991073e-05,0.0006049812287875997,8.559017315195718e-05
-981896.5735609181,0.0002941291230635564,7.38764712600942e-05,0.0006050056365698534,8.5593544458736e-05
-981563.2753349979,0.00029414151491645283,7.387940768111435e-05,0.0006050302055741793,8.559693802382925e-05
-981229.9771090777,0.00029415398815853553,7.388236336669063e-05,0.000605054935833982,8.560035385164907e-05
-980896.6788831576,0.0002941665428067082,7.3885338320745e-05,0.000605079827383325,8.56037919465993e-05
-980563.3806572374,0.00029417917888033415,7.388833254709473e-05,0.0006051048802546542,8.560725231314224e-05
-980230.0824313172,0.00029419189639667153,7.38913460496915e-05,0.0006051300944835764,8.561073495575155e-05
-979896.7842053969,0.0002942046953755646,7.389437883243068e-05,0.0006051554701029412,8.561423987894278e-05
-979563.4859794767,0.000294217575833703,7.389743089924059e-05,0.0006051810071477406,8.561776708724499e-05
-979230.1877535565,0.0002942305377913033,7.390050225410794e-05,0.0006052067056524193,8.5621316585236e-05
-978896.8895276363,0.00029424358126580477,7.390359290097772e-05,0.0006052325656517804,8.562488837750664e-05
-978563.5913017162,0.00029425670627681466,7.390670284399413e-05,0.000605258587180379,8.562848246869758e-05
-978230.2930757959,0.00029426991284308,7.39098320871224e-05,0.0006052847702749748,8.56320988634511e-05
-977896.9948498757,0.00029428320098381027,7.391298063439695e-05,0.0006053111149703711,8.563573756644797e-05
