Frequency (Hz),Input Real,Input Imag,Output Real,Output Imag
39329.19065858396,-11.187513572827914,17.243484867207552,0.09221410406525532,9.294610679700426
39662.488884504164,-10.930897862274946,17.027317624187102,0.06789810028451715,9.201281609782122
39995.78711042437,-10.682288716643411,16.81661196608574,0.04551665372533975,9.110579620817571
40329.085336344564,-10.441334683351016,16.611147325588348,0.02482701267539955,9.022311773273671
40662.38356226477,-10.207703985518169,16.41071506336417,0.0056270379853415875,8.936312339117851
40995.68178818497,-9.98108317659828,16.215117664190178,-0.012253071728095977,8.85243749553645
41328.980014105175,-9.761175903425565,16.024167997459806,-0.028957100987560547,8.7705612576143
41662.27824002538,-9.547701767675115,15.837688636137589,-0.04460770323488972,8.69057232203302
41995.57646594558,-9.340395276714647,15.655511228840297,-0.05931021850535112,8.61237158968724
42328.874691865785,-9.13900487577424,15.477475920238263,-0.07315568645397752,8.535870200537742
42662.17291778599,-8.943292054211149,15.303430815525353,-0.08622324639208756,8.460987959376183
42995.47114370619,-8.753030519339683,15.133231485031338,-0.09858206548671067,8.387652063093757
43328.769369626396,-8.568005431924737,14.966740505571865,-0.11029290027051264,8.315796062801894
43662.0675955466,-8.388012698095988,14.803827035316788,-0.12140937062408863,8.245359010582513
43995.3658214668,-8.21285831285545,14.644366419427499,-0.1319790064153632,8.176284752645774
44328.66404738701,-8.042357750871888,14.488239823801488,-0.14204411297811426,8.108521339534656
