# Time,m_true,EnvelopeFactor(1+mu*m),Carrier,RF_in,RLC_out,RF_amp,Rectified,Envelope,m_hat,m_hat_norm
2.653,-0.8199521093254523,0.3440383125396381,-0.18738131458573115,-0.06446635127153402,-0.023654526639287424,-0.11827263319643712,0.0,0.23452867186151988,0.009465129570099429,0.04141880924027501
2.6535,-0.8217464086295911,0.3426028730963271,-0.21814324139653674,-0.07473650124899912,-0.021643459287578076,-0.10821729643789038,0.0,0.23394235018186607,0.008878807890445622,0.03885310259852604
2.654,-0.8235325976284272,0.34117392189725815,-0.24868988716483678,-0.08484650414021397,-0.019624479432136334,-0.09812239716068166,0.0,0.2333574943064114,0.008293952014990946,0.036293810223381434
2.6545,-0.8253106586930002,0.3397514730455997,-0.2789911060392266,-0.09478763924344835,-0.017600153100074314,-0.08800076550037157,0.0,0.23277410057064538,0.007710558279224927,0.03374091607917477
2.6550000000000002,-0.8270805742745614,0.33833554058035087,-0.30901699437495983,-0.10455143184036728,-0.015573033105724974,-0.07786516552862487,0.0,0.23219216531921877,0.00712862302779832,0.03119440417032861
2.6555,-0.8288423269047623,0.33692613847619013,-0.33873792024529176,-0.11412965942370182,-0.013545655922835766,-0.06772827961417884,0.0,0.2316116849059207,0.006548142614500263,0.028654258541254495
2.656,-0.830595899195812,0.33552328064335035,-0.3681245526846931,-0.12351435760213408,-0.011520538597012084,-0.05760269298506042,0.0,0.23103265569365591,0.005969113402235465,0.026120463276253128
2.6565,-0.8323412738406617,0.3341269809274706,-0.39714789063475786,-0.13269782567950492,-0.009500175702108928,-0.04750087851054464,0.0,0.23045507405442178,0.005391531763001334,0.023593002499414283
2.657,-0.8340784336131702,0.3327372531094638,-0.4257792915650645,-0.14167263190625304,-0.0074870363441957325,-0.037435181720978664,0.0,0.22987893636928572,0.00481539407786527,0.02107186037451746
2.6575,-0.8358073613682703,0.3313541109053837,-0.45399049973955286,-0.15043161840069036,-0.005483561216640364,-0.02741780608320182,0.0,0.2293042390283625,0.004240696736942051,0.018557021104932896
2.658,-0.8375280400421407,0.3299775679662874,-0.4817536741017102,-0.15896790573890576,-0.003492159709776718,-0.01746079854888359,0.0,0.2287309784307916,0.0036674361393711497,0.016048468933522332
2.6585,-0.8392404526523815,0.32860763787809477,-0.5090414157503799,-0.1672748972118535,-0.0015152070785334742,-0.007576035392667371,0.0,0.22815915098471462,0.0030956086932941718,0.013546188142540282
2.6590000000000003,-0.8409445822981697,0.32724433416146415,-0.5358267949789944,-0.1753462827487724,0.00044495832868876297,0.002224791643443815,0.0,0.22758875310725282,0.002525210815832374,0.011050163053535633
2.6595,-0.8426404121604318,0.32588767027165444,-0.562083377852118,-0.1831760425066488,0.0023860377766984847,0.011930188883492423,0.0,0.22701978122448468,0.001956238933064236,0.00856037802725352
2.66,-0.8443279255020155,0.32453765959838754,-0.5877852522924736,-0.19075845012544712,0.004305774782657164,0.02152887391328582,0.0015288739132858185,0.2264560539562067,0.001392511664786239,0.006093543102763161
2.6605,-0.8460071056678415,0.32319431546572674,-0.612907053652967,-0.19808807564948613,0.0062019576846917834,0.031009788423458917,0.011009788423458917,0.22591743829237482,0.0008538960009543684,0.003736594973436919
2.661,-0.8476779360850835,0.3218576511319332,-0.6374239897486926,-0.20515978811565969,0.008072422137086378,0.04036211068543189,0.02036211068543189,0.22540354997335746,0.00034000768193701014,0.0014878521433942912
2.6615,-0.8493404002633176,0.32052767978934593,-0.6613118653236666,-0.21196875780935925,0.009915053529271125,0.04957526764635563,0.029575267646355628,0.22491397926753995,-0.00014956302388050013,-0.0006544783470344037
2.662,-0.8509944817946918,0.31920441456424653,-0.6845471059286731,-0.21851045818961135,0.011727789325938213,0.05863894662969106,0.03863894662969106,0.22444829168594532,-0.0006152506054751261,-0.0026922977941727486
2.6625,-0.8526401643540931,0.31788786851672546,-0.7071067811865436,-0.2247806674851129,0.013508621325727672,0.06754310662863836,0.04754310662863835,0.22400602872330205,-0.0010575135681183956,-0.004627612588132619
2.6630000000000003,-0.8542774316992949,0.316578054640564,-0.7289686274214184,-0.23077546996307474,0.015255597836043328,0.07627798918021664,0.056277989180216634,0.22358670862444435,-0.0014768336669760962,-0.006462530859094853
2.6635,-0.8559062676711318,0.31527498586309455,-0.7501110696304579,-0.23649125687349334,0.016966825761677833,0.08483412880838917,0.06483412880838917,0.2231898271749042,-0.0018737151165162391,-0.008199259017728432
2.664,-0.8575266561936519,0.3139786750450785,-0.7705132427757978,-0.2419247270714319,0.01864047260504782,0.0932023630252391,0.0732023630252391,0.22281485851453003,-0.0022486837768904144,-0.009840098194846667
2.6645,-0.859138581274271,0.31268913498058315,-0.7901550123756734,-0.2470728873203213,0.02027476837596425,0.10137384187982126,0.08137384187982126,0.22246125597294325,-0.0026022863184771983,-0.011387440585501923
2.665,-0.860742027003943,0.3114063783968456,-0.8090169943749405,-0.2519330522798014,0.02186800740898889,0.10934003704494445,0.08934003704494445,0.22212845292562325,-0.0029350893657972,-0.01284376570281192
2.6655,-0.8623369775573042,0.31013041795415663,-0.827080574274564,-0.25650284418153446,0.02341855008655642,0.11709275043278211,0.09709275043278211,0.22181586366939116,-0.003247678622029293,-0.014211636546898053
