Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,00792500;-11,61417000;-43,95793000
0,00795000;-11,61417000;-44,00407000
0,00797500;-11,61417000;-44,05020000
0,00800000;-11,61417000;-44,08096000
0,00802500;-11,61417000;-44,08096000
0,00805000;-11,61417000;-44,11171000
0,00807500;-11,61417000;-44,12709000
0,00810000;-11,61417000;-44,14248000
0,00812500;-11,61417000;-44,17324000
0,00815000;-11,61417000;-44,20399000
0,00817500;-11,61417000;-44,23475000
0,00820000;-11,61417000;-44,25013000
0,00822500;-11,61417000;-44,29626000
0,00825000;-11,61417000;-44,32702000
0,00827500;-11,61417000;-44,35777000
0,00830000;-11,61417000;-44,38855000
0,00832500;-11,61417000;-44,43468000
0,00835000;-11,61417000;-44,48081000
0,00837500;-11,61417000;-44,51157000
0,00840000;-11,61417000;-44,55770000
0,00842500;-11,61417000;-44,60384000
0,00845000;-11,61417000;-44,61923000
0,00847500;-11,61417000;-44,66536000
0,00850000;-11,61417000;-44,69612000
0,00852500;-11,61417000;-44,74225000
0,00855000;-11,61417000;-44,75763000
0,00857500;-11,61417000;-44,78839000
0,00860000;-11,61417000;-44,80376000
0,00862500;-11,61417000;-44,80376000
0,00865000;-11,61417000;-44,84990000
0,00867500;-11,61417000;-44,88067000
0,00870000;-11,61417000;-44,92680000
0,00872500;-11,61417000;-44,94218000
0,00875000;-11,61417000;-44,97294000
0,00877500;-11,61417000;-45,00369000
0,00880000;-11,61417000;-45,03445000
0,00882500;-11,61417000;-45,04983000
0,00885000;-11,61417000;-45,06520000
0,00887500;-11,61417000;-45,09596000
0,00890000;-11,61417000;-45,11135000
0,00892500;-11,61417000;-45,12673000
0,00895000;-11,61417000;-45,17287000
0,00897500;-11,61417000;-45,21900000
0,00900000;-11,61417000;-45,23438000
0,00902500;-11,61417000;-45,24976000
0,00905000;-11,61417000;-45,28051000
0,00907500;-11,61417000;-45,29589000
0,00910000;-11,61417000;-45,31127000
0,00912500;-11,61417000;-45,34203000
0,00915000;-11,61417000;-45,35742000
0,00917500;-11,61417000;-45,40355000
0,00920000;-11,61417000;-45,41893000
0,00922500;-11,61417000;-45,43431000
0,00925000;-11,61417000;-45,48044000
0,00927500;-11,61417000;-45,49582000
0,00930000;-11,61417000;-45,52658000
0,00932500;-11,61417000;-45,55733000
0,00935000;-11,61417000;-45,58809000
0,00937500;-11,61417000;-45,60348000
0,00940000;-11,61417000;-45,61886000
0,00942500;-11,61417000;-45,64962000
0,00945000;-11,61417000;-45,66499000
0,00947500;-11,61417000;-45,71113000
0,00950000;-11,61417000;-45,72651000
0,00952500;-11,61417000;-45,75726000
0,00955000;-11,61417000;-45,77264000
0,00957500;-11,61417000;-45,78802000
0,00960000;-11,61417000;-45,81877000
0,00962500;-11,61417000;-45,83415000
0,00965000;-11,61417000;-45,84954000
0,00967500;-11,61417000;-45,89568000
0,00970000;-11,61417000;-45,91106000
0,00972500;-11,61417000;-45,94181000
0,00975000;-11,61417000;-45,95719000
0,00977500;-11,61417000;-45,97257000
0,00980000;-11,61417000;-46,01870000
0,00982500;-11,61417000;-46,03408000
0,00985000;-11,61417000;-46,06483000
0,00987500;-11,61417000;-46,08022000
0,00990000;-11,61417000;-46,12636000
0,00992500;-11,61417000;-46,14174000
0,00995000;-11,61417000;-46,15712000
0,00997500;-11,61417000;-46,20325000
0,01000000;-11,61417000;-46,21863000
0,01002500;-11,61417000;-46,24939000
0,01005000;-11,61417000;-46,26477000
0,01007500;-11,61417000;-46,28014000
0,01010000;-11,61417000;-46,32629000
0,01012500;-11,61417000;-46,34167000
0,01015000;-11,61417000;-46,37243000
0,01017500;-11,61417000;-46,38780000
0,01020000;-11,61417000;-46,43394000
0,01022500;-11,61417000;-46,44931000
0,01025000;-11,61417000;-46,49545000
0,01027500;-11,61417000;-46,51083000
