# f,H_in,H_out,G_ideal,G_theo,phi_ideal,phi_theo
1.035622602007069872e+03,5.059299813081986619e-01,2.079126463259097033e-03,-5.788010434208197097e+01,-4.772419020391110678e+01,8.992686630213690080e+01,1.787516753427878413e+01
1.036099681391234299e+03,5.059299823480091218e-01,2.079218968955831234e-03,-5.787610055793942365e+01,-4.772380377273585594e+01,8.992683258317343586e+01,1.788286478130483914e+01
1.036576980551152246e+03,5.059299833887790365e-01,2.079311555923482081e-03,-5.787209677067694713e+01,-4.772341701927777535e+01,8.992679884863721895e+01,1.789056488862635064e+01
1.037054499588068666e+03,5.059299844305096272e-01,2.079404224230141807e-03,-5.786809298029166371e+01,-4.772302994329624681e+01,8.992676509852100253e+01,1.789826785673423970e+01
1.037532238603275118e+03,5.059299854732012269e-01,2.079496973943957723e-03,-5.786408918678066726e+01,-4.772264254455053845e+01,8.992673133281759590e+01,1.790597368611877727e+01
1.038010197698106822e+03,5.059299865168552790e-01,2.079589805133124410e-03,-5.786008539014110852e+01,-4.772225482279979758e+01,8.992669755151973732e+01,1.791368237726950241e+01
1.038488376973949698e+03,5.059299875614723385e-01,2.079682717865889360e-03,-5.785608159037007425e+01,-4.772186677780303654e+01,8.992666375462019346e+01,1.792139393067535025e+01
1.038966776532232416e+03,5.059299886070535157e-01,2.079775712210552973e-03,-5.785207778746470808e+01,-4.772147840931910423e+01,8.992662994211174521e+01,1.792910834682450982e+01
1.039445396474432982e+03,5.059299896535994767e-01,2.079868788235466389e-03,-5.784807398142207546e+01,-4.772108971710675007e+01,8.992659611398711661e+01,1.793682562620457333e+01
1.039924236902076700e+03,5.059299907011111097e-01,2.079961946009032357e-03,-5.784407017223932712e+01,-4.772070070092457428e+01,8.992656227023906013e+01,1.794454576930242595e+01
1.040403297916732299e+03,5.059299917495896359e-01,2.080055185599705234e-03,-5.784006635991353562e+01,-4.772031136053105627e+01,8.992652841086034243e+01,1.795226877660424236e+01
1.040882579620018532e+03,5.059299927990356105e-01,2.080148507075990118e-03,-5.783606254444181616e+01,-4.771992169568454756e+01,8.992649453584368757e+01,1.795999464859556838e+01
1.041362082113600991e+03,5.059299938494500326e-01,2.080241910506447182e-03,-5.783205872582126261e+01,-4.771953170614323625e+01,8.992646064518184801e+01,1.796772338576127837e+01
1.041841805499188467e+03,5.059299949008337904e-01,2.080335395959686477e-03,-5.782805490404897597e+01,-4.771914139166520386e+01,8.992642673886754778e+01,1.797545498858550062e+01
1.042321749878541596e+03,5.059299959531877722e-01,2.080428963504369656e-03,-5.782405107912204301e+01,-4.771875075200839689e+01,8.992639281689355357e+01,1.798318945755175591e+01
1.042801915353463073e+03,5.059299970065130880e-01,2.080522613209209119e-03,-5.782004725103755050e+01,-4.771835978693062685e+01,8.992635887925254679e+01,1.799092679314282606e+01
1.043282302025806075e+03,5.059299980608101821e-01,2.080616345142971470e-03,-5.781604341979260653e+01,-4.771796849618957026e+01,8.992632492593730831e+01,1.799866699584086049e+01
1.043762909997470160e+03,5.059299991160803867e-01,2.080710159374474927e-03,-5.781203958538426946e+01,-4.771757687954276861e+01,8.992629095694051955e+01,1.800641006612729811e+01
1.044243739370399226e+03,5.059300001723243678e-01,2.080804055972589311e-03,-5.780803574780964738e+01,-4.771718493674762840e+01,8.992625697225493298e+01,1.801415600448288501e+01
1.044724790246586963e+03,5.059300012295432358e-01,2.080898035006235186e-03,-5.780403190706579863e+01,-4.771679266756144955e+01,8.992622297187324421e+01,1.802190481138769940e+01
1.045206062728074130e+03,5.059300022877375458e-01,2.080992096544386893e-03,-5.780002806314979580e+01,-4.771640007174136144e+01,8.992618895578816307e+01,1.802965648732114801e+01
1.045687556916945596e+03,5.059300033469084079e-01,2.081086240656069945e-03,-5.779602421605873985e+01,-4.771600714904438689e+01,8.992615492399242783e+01,1.803741103276189151e+01
1.046169272915336705e+03,5.059300044070569324e-01,2.081180467410363635e-03,-5.779202036578968205e+01,-4.771561389922741370e+01,8.992612087647869146e+01,1.804516844818796528e+01
1.046651210825426688e+03,5.059300054681835634e-01,2.081274776876396258e-03,-5.778801651233970205e+01,-4.771522032204717334e+01,8.992608681323972064e+01,1.805292873407666931e+01
1.047133370749444111e+03,5.059300065302897442e-01,2.081369169123351189e-03,-5.778401265570585821e+01,-4.771482641726029783e+01,8.992605273426816836e+01,1.806069189090462856e+01
1.047615752789665066e+03,5.059300075933756968e-01,2.081463644220462109e-03,-5.778000879588521599e+01,-4.771443218462326286e+01,8.992601863955675867e+01,1.806845791914780719e+01
1.048098357048409753e+03,5.059300086574429756e-01,2.081558202237015608e-03,-5.777600493287483374e+01,-4.771403762389242331e+01,8.992598452909815876e+01,1.807622681928140906e+01
1.048581183628048166e+03,5.059300097224920245e-01,2.081652843242351187e-03,-5.777200106667177693e+01,-4.771364273482401330e+01,8.992595040288509267e+01,1.808399859177999147e+01
1.049064232630997822e+03,5.059300107885241760e-01,2.081747567305860386e-03,-5.776799719727308968e+01,-4.771324751717408930e+01,8.992591626091021340e+01,1.809177323711743668e+01
1.049547504159720347e+03,5.059300118555398740e-01,2.081842374496985053e-03,-5.776399332467583747e+01,-4.771285197069863671e+01,8.992588210316620234e+01,1.809955075576685601e+01
1.050030998316728301e+03,5.059300129235404508e-01,2.081937264885223848e-03,-5.775998944887706443e+01,-4.771245609515345620e+01,8.992584792964576934e+01,1.810733114820073553e+01
1.050514715204577897e+03,5.059300139925267947e-01,2.082032238540122270e-03,-5.775598556987380050e+01,-4.771205989029424188e+01,8.992581374034156738e+01,1.811511441489081164e+01
1.050998654925875144e+03,5.059300150624992387e-01,2.082127295531283496e-03,-5.775198168766312534e+01,-4.771166335587655283e+01,8.992577953524627787e+01,1.812290055630814223e+01
1.051482817583273572e+03,5.059300161334593371e-01,2.082222435928358407e-03,-5.774797780224205468e+01,-4.771126649165582023e+01,8.992574531435256802e+01,1.813068957292311367e+01
1.051967203279471050e+03,5.059300172054077560e-01,2.082317659801053399e-03,-5.774397391360763976e+01,-4.771086929738732607e+01,8.992571107765309080e+01,1.813848146520533788e+01
1.052451812117215695e+03,5.059300182783452726e-01,2.082412967219126904e-03,-5.773997002175690341e+01,-4.771047177282624574e+01,8.992567682514052763e+01,1.814627623362380504e+01
1.052936644199302918e+03,5.059300193522731082e-01,2.082508358252389401e-03,-5.773596612668688977e+01,-4.771007391772758410e+01,8.992564255680750307e+01,1.815407387864674504e+01
1.053421699628572242e+03,5.059300204271922619e-01,2.082603832970704276e-03,-5.773196222839462166e+01,-4.770967573184624655e+01,8.992560827264672696e+01,1.816187440074168791e+01
1.053906978507915255e+03,5.059300215031030667e-01,2.082699391443987823e-03,-5.772795832687713613e+01,-4.770927721493699636e+01,8.992557397265080965e+01,1.816967780037550284e+01
1.054392480940266296e+03,5.059300225800069661e-01,2.082795033742206210e-03,-5.772395442213145600e+01,-4.770887836675446181e+01,8.992553965681240413e+01,1.817748407801427390e+01
1.054878207028610177e+03,5.059300236579046262e-01,2.082890759935382852e-03,-5.771995051415460409e+01,-4.770847918705314328e+01,8.992550532512416339e+01,1.818529323412344922e+01
1.055364156875979688e+03,5.059300247367970460e-01,2.082986570093591470e-03,-5.771594660294358903e+01,-4.770807967558741325e+01,8.992547097757871200e+01,1.819310526916774151e+01
1.055850330585451502e+03,5.059300258166851139e-01,2.083082464286955659e-03,-5.771194268849544073e+01,-4.770767983211148078e+01,8.992543661416873135e+01,1.820092018361113517e+01
