# frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg, gain
1.873478735266963122e+04,5.194198151713396161e-01,1.371351117785189928e-02,-4.564513911640089816e+01,-4.421890013926147134e+01,1.426238977139424824e+00,8.171747396714454226e+01,-3.156739697025175673e+01
1.884184328039917455e+04,5.064185737655074737e-01,1.454132975301265958e-02,-4.646211212338914720e+01,-4.510125273747658525e+01,1.360859385912563280e+00,7.797149932355483770e+01,-3.083811005528525584e+01
1.894889920812871424e+04,4.928529443545448530e-01,1.567825117015818337e-02,-4.731063423738544316e+01,-4.593304154097051395e+01,1.377592696414929208e+00,7.893024739262233425e+01,-2.994839475454881139e+01
1.905595513585825393e+04,4.892488138984746882e-01,1.644208902955908089e-02,-4.818563881727610720e+01,-4.675693935334508922e+01,1.428699463931023317e+00,8.185844947585081854e+01,-2.947145571984389534e+01
1.916301106358779361e+04,4.965650838861226379e-01,1.688809522669763169e-02,-4.906224191005986057e+01,-4.758464894163491010e+01,1.477592968424950692e+00,8.465984092895678259e+01,-2.936791019191303320e+01
1.927006699131733694e+04,5.107192806493229265e-01,1.700348364219844005e-02,-4.992573280899836874e+01,-4.841555956653810000e+01,1.510173242460267407e+00,8.652655312656008846e+01,-2.955288691373346666e+01
1.937712291904687663e+04,5.218213478452968790e-01,1.654439440392733648e-02,-5.077381625103635798e+01,-4.919628766108061768e+01,1.577528589955740523e+00,9.038573026568775504e+01,-2.997741934975213596e+01
1.948417884677641632e+04,5.217399231783278468e-01,1.600014207636592939e-02,-5.162113100017229073e+01,-5.008139072970331540e+01,1.539740270468974659e+00,8.822061904420411338e+01,-3.026660461664637225e+01
1.959123477450595965e+04,5.108308587735206352e-01,1.484931754659490032e-02,-5.248354421681622028e+01,-5.101613166161574497e+01,1.467412555200476865e+00,8.407654621749526314e+01,-3.073141260228322835e+01
1.969829070223549934e+04,4.974755232500987501e-01,1.457853600850063727e-02,-5.337578525550168962e+01,-5.190537048266219955e+01,1.470414772839491402e+00,8.424856061739052393e+01,-3.066115607220909922e+01
1.980534662996503903e+04,4.901590697724029222e-01,1.485221034180676282e-02,-5.429874448904821094e+01,-5.294014887618426712e+01,1.358595612863943369e+00,7.784179468209345032e+01,-3.037091903801443138e+01
1.991240255769457872e+04,4.953382450236030188e-01,1.577635940868270248e-02,-5.522719506910398479e+01,-5.387039448214149928e+01,1.356800586962485955e+00,7.773894727382327119e+01,-2.993790139079343859e+01
2.001945848542412205e+04,5.095315532941385728e-01,1.757098613737720014e-02,-5.614291695273009708e+01,-5.473604492406399658e+01,1.406872028666105168e+00,8.060782955757599666e+01,-2.924749894441587372e+01
2.012651441315366174e+04,5.199188263832374979e-01,1.857226876639220259e-02,-5.704312533713386557e+01,-5.558936581297023594e+01,1.453759524163632522e+00,8.329428516152296424e+01,-2.894141167485953048e+01
2.023357034088320142e+04,5.204936581389947303e-01,1.851897098444305056e-02,-5.794084901051181902e+01,-5.639530418756987018e+01,1.545544822941949503e+00,8.855319540286780011e+01,-2.897597182124309256e+01
2.034062626861274475e+04,5.097300509909588051e-01,1.775538758224309496e-02,-5.885831452428669763e+01,-5.726685815474093033e+01,1.591456369545765304e+00,9.118373325418463082e+01,-2.916020162198375587e+01
2.044768219634228444e+04,4.955240927322231426e-01,1.656348605694560328e-02,-5.980322987891348419e+01,-5.822052259971199106e+01,1.582707279201495787e+00,9.068244730287932498e+01,-2.951826057167037831e+01
2.055473812407182413e+04,4.910481530862583210e-01,1.525336507278822473e-02,-6.077492728174357239e+01,-5.925371664304839214e+01,1.521210638695179140e+00,8.715894934763412039e+01,-3.015516834349111974e+01
2.066179405180136746e+04,4.988265568382078130e-01,1.468677306650449654e-02,-6.175233298220634026e+01,-6.027250899733912348e+01,1.479823984867212783e+00,8.478766875512269507e+01,-3.062046364527961728e+01
2.076884997953090715e+04,5.134918878547979348e-01,1.625856230201137495e-02,-6.271165133012506487e+01,-6.130882313083055379e+01,1.402828199294507305e+00,8.037613520151239754e+01,-2.998902894922614593e+01
2.087590590726044684e+04,5.209215587781818035e-01,1.756920073707844004e-02,-6.365627044969172488e+01,-6.233136101121257155e+01,1.324909438479150436e+00,7.591171906190311347e+01,-2.944040653095462545e+01
2.098296183498998653e+04,5.163843320481609211e-01,1.991870630776505433e-02,-6.460665639859006149e+01,-6.325542639698625891e+01,1.351230001603808351e+00,7.741977624335368091e+01,-2.827423856803923385e+01
2.109001776271952986e+04,5.017226718271601271e-01,1.947693803409292906e-02,-6.558075064140780341e+01,-6.414506584350066021e+01,1.435684797907141430e+00,8.225867963117173076e+01,-2.821886087607458649e+01
2.119707369044906955e+04,4.921543020015786141e-01,1.910881578635723055e-02,-6.658967789681069860e+01,-6.504334654827965778e+01,1.546331348531050143e+00,8.859825999960230547e+01,-2.821735023908750151e+01
2.130412961817860923e+04,4.947738856950771869e-01,1.883701396411273724e-02,-6.761519954272560540e+01,-6.603370171320642612e+01,1.581497829519177944e+00,9.061315094054907604e+01,-2.838789419301957651e+01
2.141118554590815256e+04,5.078681292508525624e-01,1.791665103916537799e-02,-6.862760813054337916e+01,-6.703176543348749306e+01,1.595842697055886550e+00,9.143505130807670866e+01,-2.904988249824290492e+01
2.151824147363769225e+04,5.186527637230430310e-01,1.716423057383260203e-02,-6.962242180054377627e+01,-6.809506265895501542e+01,1.527359141588756186e+00,8.751123261376005757e+01,-2.960504712993325072e+01
2.162529740136723194e+04,5.179908045320721355e-01,1.671797482382631969e-02,-7.061401401301276337e+01,-6.916250277431618088e+01,1.451511238696574946e+00,8.316546789311996690e+01,-2.982276766523414580e+01
2.173235332909677163e+04,5.063602415094433651e-01,1.728170385557667443e-02,-7.162724167832223543e+01,-7.024317093081346286e+01,1.384070747508773458e+00,7.930141237976971524e+01,-2.933746079334186874e+01
2.183940925682631496e+04,4.941390681433289189e-01,1.852345837682600055e-02,-7.267211634511889429e+01,-7.128780681667154795e+01,1.384309528447335014e+00,7.931509351977746292e+01,-2.852254236186396597e+01
2.194646518455585465e+04,4.949751824452724991e-01,1.953014036967921224e-02,-7.373903878681198876e+01,-7.236649675603123910e+01,1.372542030780741218e+00,7.864086556805159489e+01,-2.807756119348463386e+01
2.205352111228539434e+04,5.057452226981904442e-01,2.064806698745186297e-02,-7.480079051101073162e+01,-7.336672524332553280e+01,1.434065267685194156e+00,8.216588738466026598e+01,-2.778104777183094853e+01
2.216057704001493767e+04,5.185884952711035112e-01,2.167900696935432317e-02,-7.584184847610832492e+01,-7.435878411375537667e+01,1.483064362352945587e+00,8.497332870908439872e+01,-2.757566985721389941e+01
2.226763296774447736e+04,5.175671740015606037e-01,2.029860599862086737e-02,-7.687623258479993638e+01,-7.533415120347403615e+01,1.542081381325901779e+00,8.835475481567829092e+01,-2.813001020229172866e+01
2.237468889547401704e+04,5.065531490486145927e-01,1.890796787597067222e-02,-7.793079335215431058e+01,-7.635373912404698160e+01,1.577054228107327205e+00,9.035855133381164705e+01,-2.855960327528506326e+01
2.248174482320356037e+04,4.949197290413355210e-01,1.704488138937231001e-02,-7.902047764990551570e+01,-7.750940029844457513e+01,1.511077351460927032e+00,8.657835475651768320e+01,-2.925881566093054431e+01
2.258880075093310006e+04,4.954567449738638829e-01,1.753724132554780601e-02,-8.013058285683055715e+01,-7.871762416515667837e+01,1.412958691673868339e+00,8.095656965923922144e+01,-2.902088933766295753e+01
2.269585667866263975e+04,5.079069481739489911e-01,1.944877661849304940e-02,-8.123152956651119894e+01,-7.988563983258370627e+01,1.345889733927491339e+00,7.711380144403057102e+01,-2.833783731638774483e+01
2.280291260639217944e+04,5.185328414679415410e-01,2.137627375793103857e-02,-8.231197779378491930e+01,-8.095143028759910919e+01,1.360547506185818545e+00,7.795362993149666408e+01,-2.769688530237672097e+01
2.290996853412172277e+04,5.159642052078740049e-01,2.277086002417736538e-02,-8.339044141868069460e+01,-8.194902853156575873e+01,1.441412887114944752e+00,8.258687496745329781e+01,-2.710480280098627048e+01
2.301702446185126246e+04,5.037247896597740748e-01,2.269391817645089252e-02,-8.449616995778966100e+01,-8.296159710872522908e+01,1.534572849064437250e+00,8.792454760675855141e+01,-2.692567679042588935e+01
2.312408038958080215e+04,4.944708066025235160e-01,2.076600188619759368e-02,-8.563463402459034057e+01,-8.403248330260383625e+01,1.602150721986504323e+00,9.179647451366440691e+01,-2.753575533916543350e+01
2.323113631731034548e+04,4.998913615661855214e-01,1.882070684328595103e-02,-8.678543144342360449e+01,-8.524499679862580592e+01,1.540434644797809893e+00,8.826040376264859333e+01,-2.848479403763212403e+01
