Zeit;Kanal A;Kanal B;(A-B)/1000
(s);(V);(V);(mA)

0,24066860;5,71327500;0,62010950;5,09316500
0,24133527;5,71327500;0,62010950;5,09316500
0,24200194;5,81908200;0,60962100;5,20946100
0,24266861;5,71327500;0,62010950;5,09316500
0,24333529;5,81908200;0,62010950;5,19897200
0,24400196;5,71327500;0,62010950;5,09316500
0,24466863;5,71327500;0,60962100;5,10365400
0,24533530;5,81908200;0,62010950;5,19897200
0,24600197;5,81908200;0,62010950;5,19897200
0,24666865;5,71327500;0,62010950;5,09316500
0,24733532;5,81908200;0,62010950;5,19897200
0,24800199;5,81908200;0,62010950;5,19897200
0,24866866;5,81908200;0,62010950;5,19897200
0,24933533;5,81908200;0,62010950;5,19897200
0,25000201;5,71327500;0,62010950;5,09316500
0,25066868;5,81908200;0,62010950;5,19897200
0,25133535;5,81908200;0,62010950;5,19897200
0,25200202;5,81908200;0,62010950;5,19897200
0,25266869;5,71327500;0,60962100;5,10365400
0,25333537;5,81908200;0,60962100;5,20946100
0,25400204;5,71327500;0,60962100;5,10365400
0,25466871;5,71327500;0,60962100;5,10365400
0,25533538;5,71327500;0,62010950;5,09316500
0,25600205;5,71327500;0,62010950;5,09316500
0,25666873;5,71327500;0,60962100;5,10365400
0,25733540;5,81908200;0,62010950;5,19897200
0,25800207;5,81908200;0,62010950;5,19897200
0,25866874;5,81908200;0,62010950;5,19897200
0,25933541;5,81908200;0,62010950;5,19897200
0,26000209;5,71327500;0,62010950;5,09316500
0,26066876;5,71327500;0,59910180;5,11417300
0,26133543;5,71327500;0,60962100;5,10365400
0,26200210;5,71327500;0,60962100;5,10365400
0,26266877;5,81908200;0,62010950;5,19897200
0,26333545;5,71327500;0,62010950;5,09316500
0,26400212;5,71327500;0,60962100;5,10365400
0,26466879;5,81908200;0,62010950;5,19897200
0,26533546;5,81908200;0,62010950;5,19897200
0,26600213;5,81908200;0,62010950;5,19897200
0,26666881;5,81908200;0,62010950;5,19897200
0,26733548;5,81908200;0,62010950;5,19897200
0,26800215;5,71327500;0,62010950;5,09316500
0,26866882;5,81908200;0,60962100;5,20946100
0,26933549;5,71327500;0,63062870;5,08264600
0,27000217;5,81908200;0,65166710;5,16741500
0,27066884;5,81908200;0,62010950;5,19897200
0,27133551;5,81908200;0,62010950;5,19897200
0,27200218;5,81908200;0,62010950;5,19897200
0,27266885;5,81908200;0,62010950;5,19897200
0,27333553;5,71327500;0,62010950;5,09316500
0,27400220;5,71327500;0,62010950;5,09316500
0,27466887;5,71327500;0,62010950;5,09316500
0,27533554;5,71327500;0,62010950;5,09316500
0,27600221;5,81908200;0,62010950;5,19897200
0,27666889;5,81908200;0,62010950;5,19897200
0,27733556;5,81908200;0,62010950;5,19897200
0,27800223;5,81908200;0,60962100;5,20946100
0,27866890;5,71327500;0,62010950;5,09316500
0,27933557;5,71327500;0,62010950;5,09316500
0,28000225;5,81908200;0,62010950;5,19897200
0,28066892;5,71327500;0,60962100;5,10365400
0,28133559;5,71327500;0,62010950;5,09316500
0,28200226;5,71327500;0,62010950;5,09316500
0,28266893;5,81908200;0,62010950;5,19897200
0,28333561;5,71327500;0,60962100;5,10365400
0,28400228;5,71327500;0,62010950;5,09316500
0,28466895;5,81908200;0,62010950;5,19897200
0,28533562;5,81908200;0,62010950;5,19897200
0,28600229;5,71327500;0,62010950;5,09316500
0,28666897;5,81908200;0,62010950;5,19897200
0,28733564;5,71327500;0,62010950;5,09316500
0,28800231;5,71327500;0,60962100;5,10365400
0,28866898;5,71327500;0,60962100;5,10365400
0,28933565;5,81908200;0,62010950;5,19897200
0,29000233;5,81908200;0,62010950;5,19897200
0,29066900;5,81908200;0,60962100;5,20946100
0,29133567;5,81908200;0,62010950;5,19897200
0,29200234;5,71327500;0,60962100;5,10365400
