# frequency,input_amplitude,output_amplitude
1.260000000000000000e+03,5.001301487266625323e-02,1.275272046331438897e-02
1.265000000000000000e+03,4.907110691977825678e-02,1.260744247248464511e-02
1.270000000000000000e+03,5.132627329796168175e-02,1.280011113222352670e-02
1.275000000000000000e+03,4.913289021160392733e-02,1.251909321159852886e-02
1.280000000000000000e+03,4.985412915286980412e-02,1.255049209771896823e-02
1.285000000000000000e+03,5.112361208718507050e-02,1.264071217944104202e-02
1.290000000000000000e+03,4.869909241741431777e-02,1.233485492967506189e-02
1.295000000000000000e+03,5.055089682996222883e-02,1.248932089130620759e-02
1.300000000000000000e+03,5.066997913444583335e-02,1.245651685706449831e-02
1.305000000000000000e+03,4.863938203097428747e-02,1.219272977886821929e-02
1.310000000000000000e+03,5.099185252130305351e-02,1.240472904832991101e-02
1.315000000000000000e+03,5.024263641581239864e-02,1.227740440020343160e-02
1.320000000000000000e+03,4.873875339620457187e-02,1.207038598580646022e-02
1.325000000000000000e+03,5.121418760616832516e-02,1.229964311831565488e-02
1.330000000000000000e+03,4.997049541170603404e-02,1.211751575285747139e-02
1.335000000000000000e+03,4.882478042114377081e-02,1.194941224813119048e-02
1.340000000000000000e+03,5.130245206066434693e-02,1.218268899328374399e-02
1.345000000000000000e+03,4.989098218454403322e-02,1.198125559808831467e-02
1.350000000000000000e+03,4.881049005386425832e-02,1.182005898509047061e-02
1.355000000000000000e+03,5.130159472802137133e-02,1.205844999031801743e-02
1.360000000000000000e+03,5.001596030533148746e-02,1.187045658693774118e-02
1.365000000000000000e+03,4.868585657872637890e-02,1.168079319071994339e-02
1.370000000000000000e+03,5.118590559609536433e-02,1.192359789580701296e-02
1.375000000000000000e+03,5.035309216255991205e-02,1.178672229408695218e-02
1.380000000000000000e+03,4.852351250637224056e-02,1.153937088762333613e-02
1.385000000000000000e+03,5.086218187122983070e-02,1.176689957438555208e-02
1.390000000000000000e+03,5.086757128588141608e-02,1.172696430450615064e-02
1.395000000000000000e+03,4.850468542289140816e-02,1.141619209642281280e-02
1.400000000000000000e+03,5.022341677829705170e-02,1.157529512840161506e-02
1.405000000000000000e+03,5.139311210905364580e-02,1.167248611401773377e-02
1.410000000000000000e+03,4.890044155463615927e-02,1.134295566489163139e-02
1.415000000000000000e+03,4.929927456310837647e-02,1.135162509492346726e-02
1.420000000000000000e+03,5.156155018696804287e-02,1.157935871093192064e-02
1.425000000000000000e+03,4.988032969930024374e-02,1.134173094919532429e-02
1.430000000000000000e+03,4.849080927098811666e-02,1.114218532386259536e-02
1.435000000000000000e+03,5.092484226399592723e-02,1.139228345250430097e-02
1.440000000000000000e+03,5.112646668062768157e-02,1.137840869095319528e-02
1.445000000000000000e+03,4.859374444971939488e-02,1.104031603723595358e-02
1.450000000000000000e+03,4.947077179920846002e-02,1.110828625274769450e-02
1.455000000000000000e+03,5.164921492233112699e-02,1.133381238301167139e-02
1.460000000000000000e+03,5.001991144083359209e-02,1.109950343885481895e-02
1.465000000000000000e+03,4.832544274222615177e-02,1.086133085948193418e-02
1.470000000000000000e+03,5.051169034454701390e-02,1.108914316177286516e-02
1.475000000000000000e+03,5.158656442681178872e-02,1.118447375812159535e-02
1.480000000000000000e+03,4.917916628016744118e-02,1.085471458650332476e-02
1.485000000000000000e+03,4.856052992037209609e-02,1.074567754963990512e-02
1.490000000000000000e+03,5.110749711059509037e-02,1.102249685420306734e-02
1.495000000000000000e+03,5.134984336551921130e-02,1.101704238173179494e-02
1.500000000000000000e+03,4.878251026087514208e-02,1.066582322950881262e-02
1.505000000000000000e+03,4.873566289826902070e-02,1.062674969697782225e-02
1.510000000000000000e+03,5.131297939804433522e-02,1.091245321844912762e-02
1.515000000000000000e+03,5.131919359911138456e-02,1.087851747240565874e-02
1.520000000000000000e+03,4.874030334390951069e-02,1.052289896209505915e-02
1.525000000000000000e+03,4.860994573366043264e-02,1.047426072834690448e-02
1.530000000000000000e+03,5.118838454114574277e-02,1.076462200209685541e-02
1.535000000000000000e+03,5.158829833016997241e-02,1.078165130899263850e-02
1.540000000000000000e+03,4.909117756011834727e-02,1.043224473125232976e-02
1.545000000000000000e+03,4.822436390831043307e-02,1.029185702597543682e-02
1.550000000000000000e+03,5.059442379548079877e-02,1.055964542842457131e-02
1.555000000000000000e+03,5.195424230063463295e-02,1.070170534127350657e-02
1.560000000000000000e+03,5.002532883307631711e-02,1.042052400202691208e-02
1.565000000000000000e+03,4.800998112188140099e-02,1.013275916085556831e-02
1.570000000000000000e+03,4.936231152925501381e-02,1.027412258976799324e-02
1.575000000000000000e+03,5.178051934586740124e-02,1.055566276266258277e-02
1.580000000000000000e+03,5.143253716148585980e-02,1.047789842504390743e-02
1.585000000000000000e+03,4.885069697498922725e-02,1.011121241818852164e-02
1.590000000000000000e+03,4.801644072365330446e-02,9.973890751847302311e-03
1.595000000000000000e+03,5.024844758084064111e-02,1.023324406826202002e-02
1.600000000000000000e+03,5.213262121116111342e-02,1.045083468636033922e-02
1.605000000000000000e+03,5.102927970752416109e-02,1.027309115193599486e-02
1.610000000000000000e+03,4.844508100656438193e-02,9.903212716824713949e-03
1.615000000000000000e+03,4.801774971579331891e-02,9.818446401369803483e-03
1.620000000000000000e+03,5.035546873773681653e-02,1.009704734265183361e-02
1.625000000000000000e+03,5.223846356228184495e-02,1.031905891762904294e-02
1.630000000000000000e+03,5.131908710522451594e-02,1.016467399497366850e-02
