time,input_v,output_v
3.499999999999999964e-04,1.750000000000000000e+00,1.169844723571496274e-04
3.519999999999999908e-04,1.759999999999999787e+00,1.207032020753824684e-04
3.539999999999999853e-04,1.770000000000000018e+00,1.245125658964163864e-04
3.559999999999999797e-04,1.779999999999999805e+00,1.284140803939111267e-04
3.579999999999999741e-04,1.790000000000000036e+00,1.324092749986763089e-04
3.600000000000000227e-04,1.800000000000000266e+00,1.364996919675318262e-04
3.620000000000000171e-04,1.810000000000000053e+00,1.406868863514296175e-04
3.640000000000000115e-04,1.819999999999999840e+00,1.449724259628489172e-04
3.660000000000000059e-04,1.830000000000000071e+00,1.493578913424772577e-04
3.680000000000000003e-04,1.839999999999999858e+00,1.538448757251888567e-04
3.699999999999999947e-04,1.850000000000000089e+00,1.584349850053324747e-04
3.719999999999999891e-04,1.859999999999999876e+00,1.631298377013402369e-04
3.739999999999999835e-04,1.870000000000000107e+00,1.679310649196691569e-04
3.759999999999999779e-04,1.879999999999999671e+00,1.728403103180867434e-04
3.780000000000000265e-04,1.890000000000000124e+00,1.778592300683119146e-04
3.800000000000000209e-04,1.899999999999999911e+00,1.829894928180227109e-04
3.820000000000000153e-04,1.910000000000000142e+00,1.882327796522416212e-04
3.840000000000000097e-04,1.919999999999999929e+00,1.935907840541097719e-04
3.860000000000000041e-04,1.930000000000000160e+00,1.990652118650606574e-04
3.879999999999999985e-04,1.939999999999999947e+00,2.046577812444043084e-04
3.899999999999999929e-04,1.949999999999999734e+00,2.103702226283323885e-04
3.919999999999999873e-04,1.959999999999999742e+00,2.162042786883551135e-04
3.939999999999999817e-04,1.969999999999999751e+00,2.221617042891799166e-04
3.959999999999999762e-04,1.979999999999999760e+00,2.282442664460426437e-04
3.980000000000000248e-04,1.990000000000000213e+00,2.344537442815011763e-04
4.000000000000000192e-04,2.000000000000000000e+00,2.407919289817018050e-04
4.020000000000000136e-04,2.010000000000000231e+00,2.472606237521281420e-04
4.040000000000000080e-04,2.020000000000000018e+00,2.538616437728426797e-04
4.060000000000000024e-04,2.029999999999999805e+00,2.605968161532307018e-04
4.079999999999999968e-04,2.040000000000000036e+00,2.674679798862559773e-04
4.099999999999999912e-04,2.049999999999999822e+00,2.744769858022383488e-04
4.119999999999999856e-04,2.060000000000000053e+00,2.816256965221621326e-04
4.139999999999999800e-04,2.069999999999999840e+00,2.889159864105250329e-04
4.159999999999999744e-04,2.080000000000000071e+00,2.963497415277368424e-04
4.180000000000000230e-04,2.090000000000000302e+00,3.039288595820768173e-04
4.200000000000000174e-04,2.100000000000000089e+00,3.116552498812191069e-04
4.220000000000000118e-04,2.109999999999999876e+00,3.195308332833351811e-04
4.240000000000000062e-04,2.120000000000000107e+00,3.275575421477816595e-04
4.260000000000000006e-04,2.129999999999999893e+00,3.357373202853832449e-04
4.279999999999999950e-04,2.140000000000000124e+00,3.440721229083184055e-04
4.299999999999999894e-04,2.149999999999999911e+00,3.525639165796170204e-04
4.319999999999999838e-04,2.160000000000000142e+00,3.612146791622783924e-04
4.339999999999999782e-04,2.169999999999999929e+00,3.700263997680179216e-04
4.360000000000000269e-04,2.180000000000000160e+00,3.790010787056505162e-04
4.380000000000000213e-04,2.189999999999999947e+00,3.881407274291196873e-04
4.400000000000000157e-04,2.200000000000000178e+00,3.974473684851793725e-04
4.420000000000000101e-04,2.209999999999999964e+00,4.069230354607374892e-04
4.440000000000000045e-04,2.220000000000000195e+00,4.165697729298685893e-04
4.459999999999999989e-04,2.229999999999999982e+00,4.263896364005035299e-04
4.479999999999999933e-04,2.240000000000000213e+00,4.363846922608042374e-04
4.499999999999999877e-04,2.250000000000000000e+00,4.465570177252307211e-04
4.519999999999999821e-04,2.259999999999999787e+00,4.569087007803082504e-04
4.539999999999999765e-04,2.269999999999999574e+00,4.674418401301021772e-04
4.560000000000000251e-04,2.280000000000000249e+00,4.781585451414077214e-04
4.580000000000000195e-04,2.290000000000000036e+00,4.890609357886620918e-04
4.600000000000000139e-04,2.300000000000000266e+00,5.001511425985859368e-04
4.620000000000000083e-04,2.310000000000000053e+00,5.114313065945617128e-04
4.640000000000000027e-04,2.319999999999999840e+00,5.229035792407558557e-04
4.659999999999999971e-04,2.330000000000000071e+00,5.345701223859915859e-04
4.679999999999999915e-04,2.339999999999999858e+00,5.464331082073790695e-04
4.699999999999999859e-04,2.349999999999999645e+00,5.584947191537108484e-04
4.719999999999999803e-04,2.359999999999999876e+00,5.707571478886274211e-04
4.739999999999999747e-04,2.370000000000000107e+00,5.832225972335617530e-04
4.760000000000000234e-04,2.380000000000000338e+00,5.958932801104674902e-04
4.780000000000000178e-04,2.389999999999999680e+00,6.087714194843385712e-04
4.800000000000000122e-04,2.399999999999999911e+00,6.218592483055260939e-04
4.820000000000000066e-04,2.410000000000000142e+00,6.351590094518590494e-04
4.840000000000000010e-04,2.419999999999999929e+00,6.486729556705747796e-04
4.859999999999999954e-04,2.429999999999999716e+00,6.624033495200662034e-04
4.879999999999999898e-04,2.439999999999999947e+00,6.763524633114508010e-04
4.899999999999999842e-04,2.450000000000000178e+00,6.905225790499687271e-04
4.920000000000000328e-04,2.460000000000000409e+00,7.049159883762146084e-04
4.939999999999999730e-04,2.469999999999999751e+00,7.195349925072102876e-04
4.960000000000000216e-04,2.479999999999999982e+00,7.343819021773232867e-04
4.979999999999999618e-04,2.489999999999999769e+00,7.494590375790372754e-04
5.000000000000000104e-04,2.500000000000000000e+00,7.647687283035805098e-04
5.019999999999999506e-04,2.509999999999999343e+00,7.803133132814169025e-04
5.039999999999999992e-04,2.520000000000000018e+00,7.960951407226063382e-04
5.060000000000000478e-04,2.530000000000000249e+00,8.121165680570393295e-04
5.079999999999999880e-04,2.540000000000000036e+00,8.283799618745510017e-04
5.100000000000000366e-04,2.549999999999999822e+00,8.448876978649203688e-04
5.119999999999999768e-04,2.560000000000000053e+00,8.616421607577599969e-04
5.140000000000000254e-04,2.570000000000000284e+00,8.786457442623011498e-04
5.159999999999999656e-04,2.579999999999999627e+00,8.959008510070796223e-04
5.180000000000000143e-04,2.589999999999999858e+00,9.134098924795272479e-04
5.199999999999999544e-04,2.599999999999999645e+00,9.311752889654748271e-04
5.220000000000000031e-04,2.610000000000000320e+00,9.491994694885700539e-04
5.240000000000000517e-04,2.620000000000000107e+00,9.674848717496167295e-04
5.259999999999999919e-04,2.629999999999999893e+00,9.860339420658390582e-04
5.280000000000000405e-04,2.640000000000000124e+00,1.004849135310076661e-03
5.299999999999999807e-04,2.649999999999999467e+00,1.023932914849914324e-03
5.320000000000000293e-04,2.660000000000000142e+00,1.043287752486751676e-03
5.339999999999999695e-04,2.669999999999999485e+00,1.062916128394816384e-03
5.360000000000000181e-04,2.680000000000000160e+00,1.082820531060127477e-03
5.379999999999999583e-04,2.689999999999999503e+00,1.103003457219410306e-03
5.400000000000000069e-04,2.700000000000000178e+00,1.123467411798970529e-03
5.419999999999999471e-04,2.709999999999999520e+00,1.144214907853529717e-03
5.439999999999999957e-04,2.720000000000000195e+00,1.165248466505026904e-03
