# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
1.730000000000000071e+01,1.570796327117764701e-05,2.933199518837305494e-06
1.740000000000000213e+01,5.780311250357250338e-03,1.073387680091046062e-03
1.750000000000000355e+01,1.570796327116870235e-05,2.900826859058446918e-06
1.760000000000000142e+01,5.714249732588672255e-03,1.049471042026550163e-03
1.770000000000000284e+01,1.570796327119044738e-05,2.869148758382601216e-06
1.780000000000000071e+01,5.649681121182568468e-03,1.026340759751953342e-03
1.790000000000000213e+01,1.570796327117819589e-05,2.838143495485530192e-06
1.800000000000000355e+01,5.586555374584879601e-03,1.003962908074225576e-03
1.810000000000000142e+01,1.570796327118174326e-05,2.807790228503837383e-06
1.820000000000000284e+01,5.524824663022959680e-03,9.823053628760013232e-04
1.830000000000000071e+01,1.570796327117544134e-05,2.778068951849624710e-06
1.840000000000000213e+01,5.464443247643182254e-03,9.613376881193883353e-04
1.850000000000000355e+01,1.570796327117810780e-05,2.748960455538674073e-06
1.860000000000000142e+01,5.405367367488286660e-03,9.410310309972576542e-04
1.870000000000000284e+01,1.570796327118249882e-05,2.720446286784178668e-06
1.880000000000000071e+01,5.347555133727526812e-03,9.213580245704200769e-04
1.890000000000000213e+01,1.570796327117797566e-05,2.692508713760864925e-06
1.900000000000000355e+01,5.290966430602369111e-03,9.022926972886628587e-04
1.910000000000000142e+01,1.570796327118002887e-05,2.665130691387613879e-06
1.920000000000000284e+01,5.235562822595463128e-03,8.838103888473302673e-04
1.930000000000000426e+01,1.570796327117878881e-05,2.638295828987145234e-06
1.940000000000000213e+01,5.181307467371526476e-03,8.658876718795721324e-04
1.950000000000000355e+01,1.570796327117649166e-05,2.611988359734093764e-06
1.960000000000000142e+01,5.128165034075701963e-03,8.485022790281546417e-04
1.970000000000000284e+01,1.570796327118004920e-05,2.586193111758588739e-06
1.980000000000000426e+01,5.076101626608657720e-03,8.316330349802678393e-04
1.990000000000000213e+01,1.570796327117855164e-05,2.560895480808410393e-06
2.000000000000000355e+01,5.025084711528316275e-03,8.152597930845775385e-04
2.010000000000000142e+01,1.570796327117894806e-05,2.536081404386326691e-06
2.020000000000000284e+01,4.975083050256005023e-03,7.993633762021998008e-04
2.030000000000000426e+01,1.570796327117990690e-05,2.511737337253852643e-06
2.040000000000000213e+01,4.926066635289961040e-03,7.839255214726257009e-04
2.050000000000000355e+01,1.570796327117871428e-05,2.487850228234117590e-06
2.060000000000000142e+01,4.878006630152956560e-03,7.689288287024086642e-04
2.070000000000000284e+01,1.570796327118156369e-05,2.464407498231412742e-06
2.080000000000000426e+01,4.830875312820968014e-03,7.543567121085002856e-04
2.090000000000000213e+01,1.570796327117901243e-05,2.441397019389116265e-06
2.100000000000000355e+01,4.784646022400060143e-03,7.401933551702836924e-04
2.110000000000000142e+01,1.570796327117892095e-05,2.418807095333001728e-06
2.120000000000000284e+01,4.739293108835902421e-03,7.264236683643298309e-04
2.130000000000000426e+01,1.570796327117747083e-05,2.396626442418016316e-06
2.140000000000000213e+01,4.694791885456469673e-03,7.130332495741406118e-04
2.150000000000000355e+01,1.570796327117648150e-05,2.374844171936468130e-06
2.160000000000000142e+01,4.651118584163587387e-03,7.000083469838093170e-04
2.170000000000000284e+01,1.570796327117953420e-05,2.353449773221864840e-06
